method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
no_svd_logreg,anchor,coding,70,1,,,,,,,0.4738907414963753,0.18125,0.48,,,no svd logreg
no_svd_logreg,anchor,coding,100,1,,,,,,,0.5036481515354755,0.31875,0.56,,,no svd logreg
no_svd_logreg,aggregate,math,,5,,0.9311066773736819,0.9972527472527473,0.1,0.9470190513692696,0.75,,,,,,no svd logreg
no_svd_logreg,aggregate,science,,5,,0.7679724464547981,0.9778645833333333,0.1,0.7742176655287913,0.7166666666666666,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,5,,0.4140990464934127,0.471875,,0.4936284372904091,0.64,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,5,,0.8948546260583744,0.9929442663817665,0.1,0.9086187434047189,0.7425925925925926,,,,,,no svd logreg
no_svd_logreg,anchor,coding,70,5,,,,,,,0.41125228449172113,0.4875,0.44,,,no svd logreg
no_svd_logreg,anchor,coding,100,5,,,,,,,0.4936284372904091,0.475,0.64,,,no svd logreg
no_svd_logreg,aggregate,math,,10,,0.9389958514363175,0.9972527472527473,0.1,0.9744183089292396,0.7857142857142857,,,,,,no svd logreg
no_svd_logreg,aggregate,science,,10,,0.8035719535129998,0.9828124999999999,0.1,0.8252235615272714,0.7333333333333334,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,10,,0.5805296425014734,0.5606249999999999,0.1,0.5346969149786052,0.56,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,10,,0.9089016518978023,0.9940438034188035,0.1,0.9412639206176912,0.7740740740740741,,,,,,no svd logreg
no_svd_logreg,anchor,coding,70,10,,,,,,,0.5345139993027317,0.48125,0.52,,,no svd logreg
no_svd_logreg,anchor,coding,100,10,,,,,,,0.5346969149786052,0.50625,0.56,,,no svd logreg
