condition_id,domain,seed,model_name,model_kind,rank,feature_count,representation_dim,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0_6,num_caches,samples,mean_anchor_cv_auroc,trained_anchor_count,fallback_anchor_count,inference_time_sec,layer,condition_label,description,base_feature_count,decoy_family,decoy_level
token_only,math,43,svd_r4,svd,4,11,22,0.6876750508467159,0.9346153846153846,0.7066201041470367,0.6785714285714286,0.1,7,1792,0.6811352260123511,4,0,0.10550496494397521,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,43,svd_r8,svd,8,11,22,0.7828832910820838,0.9675824175824177,0.9221884095904501,0.7142857142857143,0.1,7,1792,0.7924681918604509,4,0,0.10429226490668952,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,43,svd_r12,svd,12,11,22,0.7711202152242665,0.9472527472527473,0.9176846259880437,0.7142857142857143,0.1,7,1792,0.8022211508815534,4,0,0.10264725401066244,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,43,svd_r16,svd,16,11,22,0.7711711033125409,0.9494505494505495,0.9116975368653905,0.7142857142857143,0.1,7,1792,0.8011162824132656,4,0,0.10483333794400096,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,44,no_svd,no_svd,,11,22,0.7731132780634279,0.948901098901099,0.9140118830422196,0.7142857142857143,0.1,7,1792,0.8014485390190864,4,0,0.09942633891478181,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,44,svd_r4,svd,4,11,22,0.6876750508467159,0.9346153846153846,0.7066201041470367,0.6785714285714286,0.1,7,1792,0.6811352260123511,4,0,0.10840655909851193,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,44,svd_r8,svd,8,11,22,0.7828832910820838,0.9675824175824177,0.9221884095904501,0.7142857142857143,0.1,7,1792,0.7924681918604509,4,0,0.10633148509077728,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,44,svd_r12,svd,12,11,22,0.7711202152242665,0.9472527472527473,0.9176846259880437,0.7142857142857143,0.1,7,1792,0.8022211508815534,4,0,0.10501235793344676,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,44,svd_r16,svd,16,11,22,0.7711734112435475,0.9494505494505495,0.9116975368653905,0.7142857142857143,0.1,7,1792,0.8011228315585094,4,0,0.1058600670658052,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,42,no_svd,no_svd,,11,22,0.8359802409230663,0.9684895833333333,0.8676071493937489,0.7166666666666666,0.1,2,3840,0.7126712237933309,4,0,0.15515399491414428,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,42,svd_r4,svd,4,11,22,0.7930609899292544,0.9783854166666666,0.8176254603501908,0.7666666666666667,0.1,2,3840,0.6397781345605777,4,0,0.17241389607079327,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,42,svd_r8,svd,8,11,22,0.8207513444595697,0.97578125,0.8646993958249167,0.7166666666666666,0.1,2,3840,0.7053944878480174,4,0,0.16302428697235882,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,42,svd_r12,svd,12,11,22,0.8342420073488129,0.9682291666666666,0.8670148612004063,0.7166666666666667,0.1,2,3840,0.7106619150681848,4,0,0.17261732905171812,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,science,42,svd_r16,svd,16,11,22,0.8320821734719522,0.9684895833333333,0.8606424955821936,0.7333333333333333,0.1,2,3840,0.7138141469138729,4,0,0.17996316612698138,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
