experiment_type,route_label,method_id,anchor_pct,rank_spec,n_problem_slices,n_samples,base_auroc,base_selacc_10,mean_abs_share_top1_k1,mean_abs_share_top1_k2,mean_abs_share_top1_k4,policy,k,intervened_auroc,intervened_auroc_std,intervened_selacc_10,intervened_selacc_10_std,auroc_drop,auroc_drop_std,selacc_drop,selacc_drop_std,mean_top1_score_drop,mean_top1_score_drop_std,median_top1_score_drop,median_top1_score_drop_std,mean_removed_abs_share_top1,mean_removed_abs_share_top1_std,mean_removed_abs_contribution_top1,mean_removed_abs_contribution_top1_std,top1_flip_rate,top1_flip_rate_std,decision_flip_rate,decision_flip_rate_std,n_repeats,subset_kind,epsilon,n_selected,monotonic_fraction,mean_score_delta,median_score_delta
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,top,1,0.6069908182584239,0.0,0.625,0.0,-0.05395387085527936,0.0,-0.07499999999999996,0.0,0.005628247172986243,0.0,0.007413831502598334,0.0,0.26151835223320635,0.0,0.00846496793247909,0.0,0.92,0.0,0.36,0.0,1,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,random,1,0.5541496355756919,0.005043574951610126,0.5521484375000001,0.024932005924786595,-0.0011126881725472826,0.005043574951610126,-0.0021484375000000444,0.024932005924786595,0.0005320356843652721,0.0004864164378436884,0.00013391653820146385,0.00019927663475226366,0.058818833406119625,0.018103153414811324,0.001867108669345315,0.0006076059312268288,0.665,0.07533259586659681,0.28,0.07211102550927978,32,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,bottom,1,0.5531432573686095,0.0,0.55625,0.0,-0.00010630996546490135,0.0,-0.006249999999999978,0.0,-2.2978237258874933e-05,0.0,3.167711970508691e-07,0.0,0.0018750357161606012,0.0,6.319014528144616e-05,0.0,0.04,0.0,0.04,0.0,1,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,top,2,0.571550515212487,0.0,0.5875,0.0,-0.018513567809342435,0.0,-0.03749999999999998,0.0,0.007643295195932282,0.0,0.00969443036664036,0.0,0.436858907167146,0.0,0.014290619540309852,0.0,1.0,0.0,0.44,0.0,1,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,random,2,0.5525182954760419,0.006610276629542754,0.5595703125,0.022909914813838663,0.0005186519271026535,0.006610276629542754,-0.009570312499999956,0.022909914813838663,0.00121422727121347,0.0009020153370616538,0.00046982147479252,0.000708922477471249,0.12792647349544806,0.020707502710365616,0.0041078596789284084,0.0006689321418193617,0.7324999999999999,0.08569568250501304,0.36,0.08124038404635961,32,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,bottom,2,0.5529509614016657,0.0,0.5625,0.0,8.598600147891045e-05,0.0,-0.012499999999999956,0.0,1.797337075260641e-05,0.0,1.969465565831996e-05,0.0,0.006277367591164348,0.0,0.00019830244324445546,0.0,0.08,0.0,0.08,0.0,1,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,top,4,0.5620404634489141,0.0,0.5875,0.0,-0.009003516045769544,0.0,-0.03749999999999998,0.0,0.008486437172721645,0.0,0.010729931926655945,0.0,0.666125568731743,0.0,0.021742485662356686,0.0,0.92,0.0,0.4,0.0,1,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,random,4,0.547913109972969,0.006957757130276529,0.5470703125,0.034232102667340544,0.005123837430175526,0.006957757130276529,0.0029296875,0.034232102667340544,0.002381865320872916,0.0013162454497726028,0.0017711776315551386,0.0013498724385651371,0.24754018295754115,0.03143227845820773,0.007892990774372914,0.0010413707059331557,0.835,0.07053367989832941,0.42125,0.11873684137621314,32,,,,,,
ablation,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,,,,bottom,4,0.5530635248945108,0.0,0.55,0.0,-2.6577491366253092e-05,0.0,0.0,0.0,0.00013142543936412344,0.0,0.00010065762363598019,0.0,0.023330019149690927,0.0,0.0007271616653603348,0.0,0.2,0.0,0.16,0.0,1,,,,,,
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,-0.2,25,1.0,-0.0015956861580021652,-0.0018795750993305105
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,-0.1,25,1.0,-0.0007978430790010749,-0.0009397875496652275
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.0,25,1.0,0.0,0.0
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.1,25,1.0,0.000797843079001086,0.0009397875496652275
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.2,25,1.0,0.001595686158002172,0.0018795750993305105
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,-0.2,25,1.0,-0.0011385332446007257,-0.0011442197204876159
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,-0.1,25,1.0,-0.0005692666223003618,-0.0005721098602438079
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.0,25,1.0,0.0,0.0
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.1,25,1.0,0.0005692666223003684,0.0005721098602438079
perturbation,coding,es_svd_coding_rr_r1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.2,25,1.0,0.0011385332446007346,0.0011442197204876159
